phase,input,variant,scenario,rate,outer_runs,baseline_cpu_ns,candidate_cpu_ns,cpu_saving_percent,cpu_saving_min_percent,cpu_saving_max_percent,baseline_elapsed_ns,candidate_elapsed_ns,elapsed_saving_percent
quick,stereo,stereo,automation,96000,1,8538.541666500001,8731.208333,-2.2564352792925346,-2.2564352792925346,-2.2564352792925346,9767.821615,9990.606771,-2.28080696782873
quick,stereo,solver_1e7,bypass,96000,1,23.083333335,24.5,-6.1371841078601275,-6.1371841078601275,-6.1371841078601275,23.08420833,26.80989583,-16.139550669182512
quick,stereo,solver_1e7,pedal,96000,1,1753.8645835,1723.229167,1.7467378489885554,1.7467378489885554,1.7467378489885554,1970.8906145,2075.125,-5.288694599950872
quick,stereo,solver_1e7,american,96000,1,5678.927083,4625.895833,18.542785188284483,18.542785188284483,18.542785188284483,6287.207906,5527.083333,12.090018086957155
quick,stereo,solver_1e7,british,96000,1,4999.8125,3992.854167,20.13992190707151,20.13992190707151,20.13992190707151,5577.34375,4719.395833,15.38273334864828
quick,stereo,solver_1e7,modern,96000,1,516.61458335,547.2083333,-5.921967930447125,-5.921967930447125,-5.921967930447125,577.4370625,641.6875,-11.126829514861637
quick,stereo,solver_1e7,compressor,96000,1,38.635416665,38.6875,-0.13480722998693295,-0.13480722998693295,-0.13480722998693295,39.957468750000004,40.13977083,-0.45624031176900726
quick,stereo,solver_1e7,delay,96000,1,23.270833335,24.58333333,-5.640107408727646,-5.640107408727646,-5.640107408727646,23.32726042,29.36197917,-25.869813434354416
quick,stereo,solver_1e7,room,96000,1,23.09375,23.97916667,-3.834009937753735,-3.834009937753735,-3.834009937753735,23.2569375,24.64408333,-5.964438912045078
quick,stereo,solver_1e7,all-american,96000,1,7378.8125,6584.6875,10.76223308289782,10.76223308289782,10.76223308289782,9141.891061999999,7474.822917,18.23548469013685
quick,stereo,solver_1e7,all-british,96000,1,6905.322916499999,5649.083333,18.19233653068221,18.19233653068221,18.19233653068221,7751.676219,6201.819458,19.993827363443962
quick,stereo,solver_1e7,all-modern,96000,1,2066.28125,2057.854167,0.4078381391691033,0.4078381391691033,0.4078381391691033,2612.2769065,2445.105896,6.399436831678784
quick,stereo,solver_1e7,automation,96000,1,8538.541666500001,7126.895833,16.53263389272238,16.53263389272238,16.53263389272238,9767.821615,7972.337667,18.38162098745495
quick,stereo,solver_1e8,bypass,96000,1,23.083333335,23.39583333,-1.3537905919600135,-1.3537905919600135,-1.3537905919600135,23.08420833,23.91145833,-3.583618672011868
quick,stereo,solver_1e8,pedal,96000,1,1753.8645835,1747.5625,0.3593255465267231,0.3593255465267231,0.3593255465267231,1970.8906145,1909.386292,3.1206360235067288
quick,stereo,solver_1e8,american,96000,1,5678.927083,4738.833333,16.554073265250977,16.554073265250977,16.554073265250977,6287.207906,5469.496521,13.00595426818385
quick,stereo,solver_1e8,british,96000,1,4999.8125,4028.333333,19.430311976699123,19.430311976699123,19.430311976699123,5577.34375,4185.846354,24.94910585348088
quick,stereo,solver_1e8,modern,96000,1,516.61458335,520.6458333,-0.7803205871308005,-0.7803205871308005,-0.7803205871308005,577.4370625,537.673625,6.886194198869944
quick,stereo,solver_1e8,compressor,96000,1,38.635416665,38.35416667,0.7279590056933127,0.7279590056933127,0.7279590056933127,39.957468750000004,39.17795833,1.9508503526014742
quick,stereo,solver_1e8,delay,96000,1,23.270833335,23.1875,0.3581020662232315,0.3581020662232315,0.3581020662232315,23.32726042,23.2100625,0.5024075604674105
quick,stereo,solver_1e8,room,96000,1,23.09375,23.95833333,-3.7437979106901054,-3.7437979106901054,-3.7437979106901054,23.2569375,27.25520833,-17.191733993351434
quick,stereo,solver_1e8,all-american,96000,1,7378.8125,6738.375,8.679411490670075,8.679411490670075,8.679411490670075,9141.891061999999,7223.644104,20.983043278360157
quick,stereo,solver_1e8,all-british,96000,1,6905.322916499999,6237.854167,9.666003423317227,9.666003423317227,9.666003423317227,7751.676219,6864.93575,11.439338330805482
quick,stereo,solver_1e8,all-modern,96000,1,2066.28125,2064.854167,0.06906528334417184,0.06906528334417184,0.06906528334417184,2612.2769065,2185.320312,16.34423186292484
quick,stereo,solver_1e8,automation,96000,1,8538.541666500001,7510.666667,12.038062700247176,12.038062700247176,12.038062700247176,9767.821615,7949.253458,18.617950129303217
quick,stereo,combined,bypass,96000,1,23.083333335,23.47916667,-1.7148014511397358,-1.7148014511397358,-1.7148014511397358,23.08420833,23.51477083,-1.8651820060055835
quick,stereo,combined,pedal,96000,1,1753.8645835,261.2708333,85.10313534134946,85.10313534134946,85.10313534134946,1970.8906145,275.5217083,86.02044647871551
quick,stereo,combined,american,96000,1,5678.927083,4131.5625,27.24748108902598,27.24748108902598,27.24748108902598,6287.207906,4703.855021,25.18372079741432
quick,stereo,combined,british,96000,1,4999.8125,3660.041667,26.796421525807222,26.796421525807222,26.796421525807222,5577.34375,4294.068583,23.00871569911752
quick,stereo,combined,modern,96000,1,516.61458335,527.5,-2.1070672413878277,-2.1070672413878277,-2.1070672413878277,577.4370625,543.7595417,5.832240946605327
quick,stereo,combined,compressor,96000,1,38.635416665,39.10416667,-1.2132650439994785,-1.2132650439994785,-1.2132650439994785,39.957468750000004,43.90625,-9.882460960443096
quick,stereo,combined,delay,96000,1,23.270833335,22.91666667,1.521933743848014,1.521933743848014,1.521933743848014,23.32726042,22.9279375,1.711829476802329
quick,stereo,combined,room,96000,1,23.09375,23.54166667,-1.9395579756427583,-1.9395579756427583,-1.9395579756427583,23.2569375,23.55816667,-1.2952228555457967
quick,stereo,combined,all-american,96000,1,7378.8125,4266.708333,42.176219642388254,42.176219642388254,42.176219642388254,9141.891061999999,4836.778646,47.09214304570981
quick,stereo,combined,all-british,96000,1,6905.322916499999,4006.583333,41.978334953367266,41.978334953367266,41.978334953367266,7751.676219,4228.287333,45.45325148338733
quick,stereo,combined,all-modern,96000,1,2066.28125,787.8125,61.87292993148924,61.87292993148924,61.87292993148924,2612.2769065,816.467875,68.74497213643687
quick,stereo,combined,automation,96000,1,8538.541666500001,5360.5,37.21995852018486,37.21995852018486,37.21995852018486,9767.821615,5610.75,42.55884043394256
