scenario,rate,block_size,seconds,inner_repeats,outer_runs_per_variant,baseline_median_ns_per_frame,current_median_ns_per_frame,reduction_percent,baseline_median_realtime_percent,current_median_realtime_percent,baseline_min_outer_median_ns_per_frame,baseline_max_outer_median_ns_per_frame,current_min_outer_median_ns_per_frame,current_max_outer_median_ns_per_frame
all-modern,48000,128,1,3,4,3788.2248335000004,3711.1527815,2.034516307438705,18.1834792008,17.8135333512,3764.513896,3859.551208,3665.171875,3891.246521
automation,48000,128,1,3,4,13167.478299999999,12637.664499999999,4.023654248209397,63.203895839999994,60.6607896,12855.2014,14258.68923,12512.40625,14244.99652
bypass,96000,128,1,3,4,23.021484375,22.724395835000003,1.2904838591668688,0.22100625,0.21815420001600003,22.26996875,25.93619792,22.37065625,23.10416667
pedal,96000,128,1,3,4,1772.3098960000002,1651.1673175,6.835293239258656,17.0141750016,15.851206248000002,1688.336812,1893.068573,1628.115885,1662.476125
american,96000,128,1,3,4,5941.266927000001,5614.3435365000005,5.502587150466198,57.03616249920001,53.89769795040001,5856.432292,8535.77474,5382.767365,6779.285156
british,96000,128,1,3,4,5302.073995000001,5074.4019115,4.2940193538359095,50.899910352000006,48.7142583504,5230.167104,8373.158427,4705.943583,5771.683156
modern,96000,128,1,3,4,568.5551146,499.21896355,12.195150350336858,5.458129100160001,4.7925020500799995,556.8216146,571.6072083,487.8159688,507.5503542
compressor,96000,128,1,3,4,38.017791669999994,37.233296875,2.0634938552179016,0.36497080003199994,0.35743965,37.15234375,38.80208333,36.4995625,38.13671875
delay,96000,128,1,3,4,22.726125,22.689239585000003,0.16230402235311026,0.2181708,0.21781670001600004,22.42926042,23.59375,22.28341667,23.1566875
room,96000,128,1,3,4,23.26909375,22.562505205,3.0365967518610315,0.2233833,0.216600049968,22.31858333,24.4461875,22.41059375,23.33854167
all-american,96000,128,1,3,4,7706.6197865,7149.276479,7.23200732539474,73.9835499504,68.6330541984,7463.756073,8402.73524,6927.227,7872.871094
all-british,96000,128,1,3,4,7160.837891,6788.456375,5.20025060849405,68.7440437536,65.1691812,7102.817271,7306.140188,6567.041229,6875.093323
