profile,input,oversampling,scenario,rate,frames,repeats,baseline_cpu_ns,mono_reuse_cpu_ns,cpu_saving_percent,saving_min_percent,saving_max_percent,baseline_elapsed_ns,mono_reuse_elapsed_ns,elapsed_saving_percent,all_four_printed_checksums_equal
standard-guitar-mono,guitar-mono,standard,all-modern,48000,96000,3,753.5625,393.3177083,47.80556247159326,47.7620193016505,47.84910564153604,768.2172292,396.1410625,48.43371803668993,True
standard-guitar-mono,guitar-mono,standard,automation,48000,96000,3,2359.296875,1210.828125,48.67843306069738,48.66496684525977,48.691899276134976,2385.6523435,1222.1866355000002,48.76928992482931,True
high-guitar-mono,guitar-mono,high,bypass,48000,96000,3,23.359375,23.520833335,-0.6911928722407978,-2.6532887545150485,1.2709030100334417,23.38584896,23.558380205,-0.737759169209995,True
high-guitar-mono,guitar-mono,high,pedal,48000,96000,3,465.8854167,256.671875,44.90665176470204,44.78032420026167,45.03297932914242,467.88671355,261.11653125,44.19236031114695,True
high-guitar-mono,guitar-mono,high,american,48000,96000,3,5583.734375,2811.2239584999998,49.65333646445171,49.44411642074217,49.86255650816126,5630.418406,2839.2936200000004,49.57224463151202,True
high-guitar-mono,guitar-mono,high,british,48000,96000,3,5384.213541499999,2734.078125,49.22047381801452,49.10700552867364,49.3339421073554,5418.578995,2771.3886715,48.85395831532027,True
high-guitar-mono,guitar-mono,high,modern,48000,96000,3,1010.3802085,519.765625,48.557422183512614,48.389890368680945,48.724953998344276,1018.645833,525.61892705,48.400228026064084,True
high-guitar-mono,guitar-mono,high,compressor,48000,96000,3,23.796875,23.807291665,-0.04377324753774836,-0.9411249586342763,0.8535784635587684,23.802734375,23.825302085,-0.09481141806844118,True
high-guitar-mono,guitar-mono,high,delay,48000,96000,3,23.770833335,23.453125,1.336546895611812,-0.30674845922478156,2.9798422504483835,24.055125,23.541234375000002,2.1363041139881744,True
high-guitar-mono,guitar-mono,high,room,48000,96000,3,22.958333335,23.505208335,-2.3820326677036707,-2.4954627874776536,-2.268602547929688,22.982421875,23.64149479,-2.867726119486691,True
high-guitar-mono,guitar-mono,high,all-american,48000,96000,3,6402.651042,3170.6302084999998,50.479415671706086,50.38871431281731,50.570117030594844,6528.5948385,3202.756073,50.94264306136878,True
